depth_top,thickness,soil_code,C_s,C_p,elevation_with_respect_to_NAP,gamma,gamma_sat,phi
0.07,0.92,Zk3s1,1000000000,400,-3.58,0.019,0.021,0.5235987756
0.99,1.4,Kv4,60,15,-4.5,0.016,0.016,0.2617993878
2.39,7.099,Kz3s1,1680,140,-5.9,0.02,0.02,0.5672320069
9.489,1.999,Zs1,1000000000,450,-12.999,0.018000000000000002,0.02,0.471238898
11.488,1.0,Zs1k1,1000000000,450,-14.998,0.018000000000000002,0.02,0.471238898
12.488,0.799,Kv2z1,40,10,-15.998,0.015,0.015,0.2617993878
13.287,1.6,Zk1s1,1000000000,450,-16.797,0.018000000000000002,0.02,0.471238898
14.887,3.799,Zg1s1,1000000000,600,-18.397,0.018000000000000002,0.02,0.5672320069
18.686,0.899,Zg3,1000000000,200,-22.196,0.017,0.019,0.5235987756
19.585,5.798,Z,1000000000,200,-23.095,0.017,0.019,0.5235987756
25.383,2.798,Zk1s1,1000000000,450,-28.893,0.018000000000000002,0.02,0.471238898
28.181,6.992,Kz7s1,320,25,-31.691,0.018000000000000002,0.018000000000000002,0.4799655443
35.173,4.691,Kz7s1,320,25,-38.683,0.018000000000000002,0.018000000000000002,0.4799655443
39.864,0.06,Zk6s1,1000000000,200,-43.374,0.018000000000000002,0.02,0.436332313
