depth_top,thickness,soil_code,C_s,C_p,elevation_with_respect_to_NAP,gamma,gamma_sat,phi
0.07,0.62,Kv1,60,15.0,-4.39,0.016,0.016,0.2617993878
0.6900000000000001,0.6000000000000001,Vk4,30,7.5,-5.01,0.012,0.012,0.2617993878
1.29,7.3,Kz1v1,600,50.0,-5.61,0.021,0.021,0.4799655443
8.59,3.199,Zs1,1000000000,450.0,-12.91,0.018000000000000002,0.02,0.471238898
11.789,1.299,Kv5z3,40,10.0,-16.109,0.015,0.015,0.2617993878
13.088,1.0,Zk3s1,1000000000,200.0,-17.408,0.018000000000000002,0.02,0.436332313
14.088,3.6950000000000003,Zg1s1,1000000000,600.0,-18.408,0.018000000000000002,0.02,0.5672320069
17.783,6.782,Z,1000000000,600.0,-22.103,0.018000000000000002,0.02,0.5672320069
24.565,2.684,Zk1,1000000000,450.0,-28.885,0.018000000000000002,0.02,0.471238898
27.249,12.499,Zk6s1,1000000000,200.0,-31.569,0.018000000000000002,0.02,0.436332313
39.748,0.06,Zk1s1,1000000000,450.0,-44.068,0.018000000000000002,0.02,0.471238898
