depth_top,thickness,soil_code,C_s,C_p,elevation_with_respect_to_NAP,gamma,gamma_sat,phi
0.07,1.62,Kz5v2,1680,140.0,-3.45,0.02,0.02,0.5672320069
1.69,0.7000000000000001,Vk1,30,7.5,-5.07,0.012,0.012,0.2617993878
2.39,0.8,Vk2,30,7.5,-5.77,0.012,0.012,0.2617993878
3.19,4.1,Kv3,60,15.0,-6.57,0.016,0.016,0.2617993878
7.29,2.099,Kz6s1,1680,140.0,-10.67,0.02,0.02,0.5672320069
9.389,2.799,Zs1g1,1000000000,650.0,-12.769,0.019,0.021,0.5672320069
12.188,1.899,Zk6v3,1000000000,200.0,-15.568,0.018000000000000002,0.02,0.436332313
14.087,1.198,Zs1,1000000000,450.0,-17.467,0.018000000000000002,0.02,0.471238898
15.285,3.894,Zg2s1,1000000000,600.0,-18.665,0.018000000000000002,0.02,0.5672320069
19.179,6.176,Zg1,1000000000,600.0,-22.559,0.018000000000000002,0.02,0.5672320069
25.355,2.984,Zk2s1,1000000000,450.0,-28.735,0.018000000000000002,0.02,0.471238898
28.339,11.391,Kz8s1,320,25.0,-31.719,0.018000000000000002,0.018000000000000002,0.4799655443
39.73,0.06,Zk5s1,1000000000,200.0,-43.11,0.018000000000000002,0.02,0.436332313
