depth_top,thickness,soil_code,C_s,C_p,elevation_with_respect_to_NAP,gamma,gamma_sat,phi
0.07,1.52,Zk2s1,1000000000,650.0,-3.61,0.019,0.021,0.5672320069
1.5899999999999999,0.9,Vk8,30,7.5,-5.13,0.012,0.012,0.2617993878
2.49,7.299,Kz3s1,1680,140.0,-6.03,0.02,0.02,0.5672320069
9.789,1.2,Zs1,1000000000,450.0,-13.329,0.018000000000000002,0.02,0.471238898
10.989,1.6,Zk3s1,1000000000,200.0,-14.529,0.018000000000000002,0.02,0.436332313
12.589,0.8,Kv8,40,10.0,-16.129,0.015,0.015,0.2617993878
13.389,1.199,Z,1000000000,600.0,-16.929,0.018000000000000002,0.02,0.5672320069
14.588,0.5,Zs1,1000000000,450.0,-18.128,0.018000000000000002,0.02,0.471238898
15.088,2.8,Zg2s1,1000000000,600.0,-18.628,0.018000000000000002,0.02,0.5672320069
17.888,6.098,Z,1000000000,600.0,-21.428,0.018000000000000002,0.02,0.5672320069
23.986,1.399,Zg1,1000000000,200.0,-27.526,0.017,0.019,0.5235987756
25.385,2.998,Zk1s1,1000000000,450.0,-28.925,0.018000000000000002,0.02,0.471238898
28.383,11.479,Kz8s1,320,25.0,-31.923000000000002,0.018000000000000002,0.018000000000000002,0.4799655443
39.862,0.06,Zk1s1,1000000000,450.0,-43.402,0.018000000000000002,0.02,0.471238898
