depth_top,thickness,soil_code,C_s,C_p,elevation_with_respect_to_NAP,gamma,gamma_sat,phi
0.07,1.52,Zk3s1,1000000000,400,-3.42,0.019,0.021,0.5235987756
1.5899999999999999,1.599,Kv2z1,60,15,-4.94,0.016,0.016,0.2617993878
3.189,6.498,Kz3s1,1680,140,-6.539,0.02,0.02,0.5672320069
9.687,2.699,Zs1,1000000000,450,-13.037,0.018000000000000002,0.02,0.471238898
12.386,1.399,Zk7v1,1000000000,200,-15.736,0.018000000000000002,0.02,0.436332313
13.785,1.399,Zs1,1000000000,450,-17.135,0.018000000000000002,0.02,0.471238898
15.184,3.097,Zg3s1,1000000000,600,-18.534,0.018000000000000002,0.02,0.5672320069
18.281,7.187,Z,1000000000,200,-21.631,0.017,0.019,0.5235987756
25.468,2.693,Zk1s1,1000000000,450,-28.818,0.018000000000000002,0.02,0.471238898
28.161,11.639,Zk7s1,1000000000,200,-31.511,0.018000000000000002,0.02,0.436332313
39.8,0.06,Zk6s1,1000000000,200,-43.15,0.018000000000000002,0.02,0.436332313
