depth_top,thickness,soil_code,C_s,C_p,elevation_with_respect_to_NAP,gamma,gamma_sat,phi
0.07,1.62,Zk5s1,1000000000,400.0,-3.45,0.019,0.021,0.5235987756
1.69,0.9,Vk3,30,7.5,-5.07,0.012,0.012,0.2617993878
2.59,6.499,Kz2v1,600,50.0,-5.97,0.021,0.021,0.4799655443
9.089,0.6000000000000001,Zk2s1,1000000000,450.0,-12.469,0.018000000000000002,0.02,0.471238898
9.689,1.5,Zg1s1,1000000000,600.0,-13.069,0.018000000000000002,0.02,0.5672320069
11.189,1.499,Zs1,1000000000,450.0,-14.569,0.018000000000000002,0.02,0.471238898
12.688,1.5,Zk7v2,1000000000,200.0,-16.068,0.018000000000000002,0.02,0.436332313
14.188,0.7000000000000001,Zs1,1000000000,450.0,-17.568,0.018000000000000002,0.02,0.471238898
14.888,4.699,Zg2s1,1000000000,600.0,-18.268,0.018000000000000002,0.02,0.5672320069
19.587,5.7940000000000005,Z,1000000000,200.0,-22.967,0.017,0.019,0.5235987756
25.381,3.395,Zk2s1,1000000000,450.0,-28.761,0.018000000000000002,0.02,0.471238898
28.776,3.192,Kz6s1,320,25.0,-32.156,0.018000000000000002,0.018000000000000002,0.4799655443
31.968,7.8629999999999995,Kz6s1,320,25.0,-35.348,0.018000000000000002,0.018000000000000002,0.4799655443
39.831,0.06,Zk8s1,1000000000,200.0,-43.211,0.018000000000000002,0.02,0.436332313
