depth_top,thickness,soil_code,C_s,C_p,elevation_with_respect_to_NAP,gamma,gamma_sat,phi
0.07,0.92,Zk4s1,1000000000,400.0,-3.41,0.019,0.021,0.5235987756
0.99,0.8,Kv3,60,15.0,-4.33,0.016,0.016,0.2617993878
1.79,0.6000000000000001,Vk1,30,7.5,-5.13,0.012,0.012,0.2617993878
2.39,4.5,Kv5,60,15.0,-5.73,0.016,0.016,0.2617993878
6.89,2.499,Kz5v1,320,25.0,-10.23,0.018000000000000002,0.018000000000000002,0.4799655443
9.389,1.899,Zg1s1,1000000000,600.0,-12.729,0.018000000000000002,0.02,0.5672320069
11.288,1.199,Zs1k1,1000000000,450.0,-14.628,0.018000000000000002,0.02,0.471238898
12.487,1.798,Kz5v3,320,25.0,-15.827,0.018000000000000002,0.018000000000000002,0.4799655443
14.285,0.5,Zs1,1000000000,450.0,-17.625,0.018000000000000002,0.02,0.471238898
14.785,3.893,Zg2s1,1000000000,600.0,-18.125,0.018000000000000002,0.02,0.5672320069
18.678,6.873,Z,1000000000,600.0,-22.018,0.018000000000000002,0.02,0.5672320069
25.551,2.781,Zk2s1,1000000000,450.0,-28.891,0.018000000000000002,0.02,0.471238898
28.332,11.392,Kz8s1,320,25.0,-31.672,0.018000000000000002,0.018000000000000002,0.4799655443
39.724,0.059000000000000004,Zk2s1,1000000000,450.0,-43.064,0.018000000000000002,0.02,0.471238898
